,DateTime,WDIR,WSPD,ATMP,DEWP,VIS,GSTD,TIME,WX,WY
3244,2021-12-15 00:15:00,130.0,5.7,23.0,22.0,5.2,0.0,0.9978589232386035,-5.501258644420215,1.4920299350857062
3243,2021-12-15 00:35:00,130.0,5.7,23.0,22.0,5.2,0.0,0.9883615104677607,-5.501258644420215,1.4920299350857062
3242,2021-12-15 00:55:00,130.0,5.7,23.0,22.0,4.3,0.0,0.9713420698132614,-5.501258644420215,1.4920299350857062
3241,2021-12-15 01:15:00,130.0,5.7,23.0,22.0,5.2,0.0,0.9469301294951057,-5.501258644420215,1.4920299350857062
3240,2021-12-15 01:35:00,130.0,5.7,23.0,22.0,5.2,0.0,0.9153114791194471,-5.501258644420215,1.4920299350857062
3239,2021-12-15 01:55:00,130.0,5.1,23.0,22.0,4.3,0.0,0.8767267557075077,-4.9221787871128235,1.3349741524451055
3238,2021-12-15 02:15:00,130.0,5.1,23.0,22.0,5.2,0.0,0.8314696123025452,-4.9221787871128235,1.3349741524451055
3237,2021-12-15 02:35:00,130.0,4.1,23.0,22.0,5.2,0.0,0.7798844830928818,-3.9570456916005052,1.073214514710771
3236,2021-12-15 02:55:00,130.0,3.6,23.0,22.0,5.2,0.0,0.7223639620597556,-3.4744791438443463,0.942334695843604
3235,2021-12-15 03:15:00,140.0,2.6,23.0,22.0,4.3,0.0,0.659345815100069,-1.5687388050506308,-2.0734171219338187
3234,2021-12-15 03:35:00,140.0,3.1,23.0,22.0,5.2,0.0,0.5913096483635825,-1.8704193444834443,-2.472151183844168
3233,2021-12-15 03:55:00,140.0,3.6,23.0,22.0,5.2,0.0,0.5187732581605216,-2.1720998839162577,-2.870885245754518
3232,2021-12-15 04:15:00,140.0,3.6,23.0,22.0,5.2,0.0,0.44228869021900125,-2.1720998839162577,-2.870885245754518
3231,2021-12-15 04:35:00,150.0,3.6,23.0,21.0,6.1,3.1,0.3624380382837017,1.8515783007514128,-3.0873383028405734
3230,2021-12-15 04:55:00,150.0,5.1,23.0,21.0,5.2,0.0,0.27982901403099203,2.6230692593978344,-4.373729262357479
3229,2021-12-15 05:15:00,160.0,4.6,23.0,22.0,5.2,0.0,0.19509032201612833,4.543165216127918,0.7208674073401876
3228,2021-12-15 05:35:00,160.0,6.2,23.0,21.0,5.2,0.0,0.10886687485196474,6.123396595650672,0.9716038968498182
3227,2021-12-15 05:55:00,160.0,5.1,23.0,21.0,5.2,0.0,0.02181488503456116,5.036987522228778,0.7992225603119472
3226,2021-12-15 06:15:00,150.0,4.6,23.0,22.0,4.3,0.0,-0.06540312923014314,2.365905606515694,-3.9449322758518433
3225,2021-12-15 06:35:00,150.0,4.6,23.0,22.0,5.2,0.0,-0.15212338618991647,2.365905606515694,-3.9449322758518433
3224,2021-12-15 06:55:00,160.0,5.1,23.0,22.0,4.3,0.0,-0.23768589232617318,5.036987522228778,0.7992225603119472
3223,2021-12-15 07:15:00,160.0,5.1,23.0,21.0,4.3,0.0,-0.32143946530316136,5.036987522228778,0.7992225603119472
3222,2021-12-15 07:35:00,150.0,5.1,23.0,21.0,4.3,0.0,-0.40274668985873713,2.6230692593978344,-4.373729262357479
3221,2021-12-15 07:55:00,150.0,5.7,23.0,21.0,5.2,0.0,-0.48098876891938747,2.9316656428564034,-4.888285646164241
3220,2021-12-15 08:15:00,150.0,5.7,23.0,21.0,6.1,2.499999999999999,-0.555570233019602,2.9316656428564034,-4.888285646164241
3219,2021-12-15 08:35:00,150.0,4.6,23.0,21.0,6.1,3.1000000000000005,-0.6259234721840591,2.365905606515694,-3.9449322758518433
3218,2021-12-15 08:55:00,150.0,4.6,23.0,21.0,5.2,3.1000000000000005,-0.691513055782269,2.365905606515694,-3.9449322758518433
3217,2021-12-15 09:15:00,160.0,5.7,23.0,21.0,5.2,0.0,-0.7518398074789773,5.629574289549812,0.8932487438780586
3216,2021-12-15 09:35:00,160.0,5.7,23.0,21.0,5.2,0.0,-0.8064446042674827,5.629574289549812,0.8932487438780586
3215,2021-12-15 09:55:00,160.0,6.2,23.0,21.0,5.2,0.0,-0.8549118706729464,6.123396595650672,0.9716038968498182
3214,2021-12-15 10:15:00,160.0,5.1,23.0,21.0,4.3,0.0,-0.8968727415326883,5.036987522228778,0.7992225603119472
3213,2021-12-15 10:35:00,160.0,4.6,23.0,21.0,5.2,2.6000000000000005,-0.9320078692827987,4.543165216127918,0.7208674073401876
3212,2021-12-15 10:55:00,160.0,5.1,23.0,21.0,5.2,0.0,-0.9600498543859286,5.036987522228778,0.7992225603119472
