#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 29 00 30 330 12.9 14.9    MM    MM    MM  MM 1022.4  10.3    MM    MM   MM   MM    MM
2022 01 29 00 24 330 11.8 13.4    MM    MM    MM  MM 1022.4  10.4    MM    MM   MM   MM    MM
2022 01 29 00 18 330 11.8 13.4    MM    MM    MM  MM 1022.3  10.5    MM    MM   MM   MM    MM
2022 01 29 00 12 330 12.4 13.9    MM    MM    MM  MM 1022.1  10.6    MM    MM   MM   MM    MM
2022 01 29 00 06 330 12.9 14.9    MM    MM    MM  MM 1022.0  10.7    MM    MM   MM   MM    MM
2022 01 29 00 00 330 12.9 14.9    MM    MM    MM  MM 1021.8  10.8    MM    MM   MM +1.3    MM
2022 01 28 23 54 330 11.8 14.4    MM    MM    MM  MM 1021.7  10.8    MM    MM   MM   MM    MM
2022 01 28 23 48 330 11.3 12.4    MM    MM    MM  MM 1021.6  10.9    MM    MM   MM   MM    MM
2022 01 28 23 42 340 10.8 13.4    MM    MM    MM  MM 1021.5  11.1    MM    MM   MM   MM    MM
2022 01 28 23 36 330 12.4 14.4    MM    MM    MM  MM 1021.3  11.1    MM    MM   MM   MM    MM
2022 01 28 23 30 330 10.8 12.4    MM    MM    MM  MM 1021.2  11.2    MM    MM   MM   MM    MM
2022 01 28 23 24 340 10.8 12.9    MM    MM    MM  MM 1021.1  11.2    MM    MM   MM   MM    MM
2022 01 28 23 18 330 10.8 12.9    MM    MM    MM  MM 1021.0  11.3    MM    MM   MM   MM    MM
2022 01 28 23 12 330 10.3 12.9    MM    MM    MM  MM 1020.9  11.3    MM    MM   MM   MM    MM
2022 01 28 23 06 330 11.3 12.4    MM    MM    MM  MM 1020.8  11.4    MM    MM   MM   MM    MM
2022 01 28 23 00 330  9.8 12.9    MM    MM    MM  MM 1020.8  11.4    MM    MM   MM -0.0    MM
2022 01 28 22 54 320 10.8 12.9    MM    MM    MM  MM 1020.7  11.4    MM    MM   MM   MM    MM
2022 01 28 22 48 320 10.8 11.8    MM    MM    MM  MM 1020.6  11.4    MM    MM   MM   MM    MM
2022 01 28 22 42 330  9.8 11.8    MM    MM    MM  MM 1020.6  11.5    MM    MM   MM   MM    MM
2022 01 28 22 36 330  9.8 12.4    MM    MM    MM  MM 1020.5  11.5    MM    MM   MM   MM    MM
2022 01 28 22 30 330 10.8 12.4    MM    MM    MM  MM 1020.4  11.5    MM    MM   MM   MM    MM
2022 01 28 22 24 320 10.8 11.8    MM    MM    MM  MM 1020.3  11.6    MM    MM   MM   MM    MM
2022 01 28 22 18 320  9.8 11.3    MM    MM    MM  MM 1020.3  11.4    MM    MM   MM   MM    MM
2022 01 28 22 12 320  9.3 10.8    MM    MM    MM  MM 1020.3  11.4    MM    MM   MM   MM    MM
2022 01 28 22 06 320 10.3 11.8    MM    MM    MM  MM 1020.1  11.5    MM    MM   MM   MM    MM
2022 01 28 22 00 330  9.8 11.3    MM    MM    MM  MM 1020.1  11.4    MM    MM   MM -1.0    MM
2022 01 28 21 54 320 10.3 11.3    MM    MM    MM  MM 1020.0  11.4    MM    MM   MM   MM    MM
2022 01 28 21 48 330 10.3 11.8    MM    MM    MM  MM 1020.0  11.5    MM    MM   MM   MM    MM
2022 01 28 21 42 320  9.8 11.3    MM    MM    MM  MM 1020.0  11.4    MM    MM   MM   MM    MM
2022 01 28 21 36 330 10.3 11.3    MM    MM    MM  MM 1020.0  11.4    MM    MM   MM   MM    MM
2022 01 28 21 30 320  8.8 10.3    MM    MM    MM  MM 1020.1  11.1    MM    MM   MM   MM    MM
2022 01 28 21 24 320  8.8 10.3    MM    MM    MM  MM 1020.2  11.0    MM    MM   MM   MM    MM
2022 01 28 21 18 320  6.7  9.3    MM    MM    MM  MM 1020.2  10.8    MM    MM   MM   MM    MM
2022 01 28 21 12 320  8.2  9.3    MM    MM    MM  MM 1020.3  10.6    MM    MM   MM   MM    MM
2022 01 28 21 06 330  8.8  9.8    MM    MM    MM  MM 1020.5  10.3    MM    MM   MM   MM    MM
2022 01 28 21 00 330  7.7  8.8    MM    MM    MM  MM 1020.5  10.0    MM    MM   MM -1.0    MM
2022 01 28 20 54 330  6.7  7.7    MM    MM    MM  MM 1020.6   9.6    MM    MM   MM   MM    MM
2022 01 28 20 48 330  6.2  8.2    MM    MM    MM  MM 1020.6   9.5    MM    MM   MM   MM    MM
2022 01 28 20 42 340  7.2  8.8    MM    MM    MM  MM 1020.6   9.2    MM    MM   MM   MM    MM
2022 01 28 20 36 330  7.2  8.8    MM    MM    MM  MM 1020.8   9.1    MM    MM   MM   MM    MM
2022 01 28 20 30 330  8.2  9.8    MM    MM    MM  MM 1020.9   8.9    MM    MM   MM   MM    MM
2022 01 28 20 24 330  7.7  9.3    MM    MM    MM  MM 1020.6   8.6    MM    MM   MM   MM    MM
2022 01 28 20 18 330  8.2  9.8    MM    MM    MM  MM 1020.6   8.6    MM    MM   MM   MM    MM
2022 01 28 20 12 330  8.2  9.3    MM    MM    MM  MM 1020.3   8.4    MM    MM   MM   MM    MM
2022 01 28 20 06 330  7.7  9.3    MM    MM    MM  MM 1020.4   8.3    MM    MM   MM   MM    MM
2022 01 28 20 00 330  8.2  9.3    MM    MM    MM  MM 1020.7   8.4    MM    MM   MM -0.7    MM
2022 01 28 19 54 320  8.8 10.8    MM    MM    MM  MM 1020.8   8.2    MM    MM   MM   MM    MM
2022 01 28 19 48 330 10.3 10.8    MM    MM    MM  MM 1020.9   8.3    MM    MM   MM   MM    MM
2022 01 28 19 42 330  9.8 10.8    MM    MM    MM  MM 1021.0   8.2    MM    MM   MM   MM    MM
2022 01 28 19 36 330  8.8 10.8    MM    MM    MM  MM 1021.1   8.1    MM    MM   MM   MM    MM
2022 01 28 19 30 330  9.8 11.3    MM    MM    MM  MM 1021.1   8.1    MM    MM   MM   MM    MM
2022 01 28 19 24 330  9.8 11.8    MM    MM    MM  MM 1021.0   8.2    MM    MM   MM   MM    MM
2022 01 28 19 18 330  9.3 11.8    MM    MM    MM  MM 1021.2   8.3    MM    MM   MM   MM    MM
2022 01 28 19 12 320  9.3 11.3    MM    MM    MM  MM 1021.2   8.2    MM    MM   MM   MM    MM
2022 01 28 19 06 320  8.2  9.8    MM    MM    MM  MM 1021.3   8.1    MM    MM   MM   MM    MM
2022 01 28 19 00 330  9.8 11.8    MM    MM    MM  MM 1021.1   8.0    MM    MM   MM -1.0    MM
2022 01 28 18 54 330  9.8 10.8    MM    MM    MM  MM 1021.2   8.0    MM    MM   MM   MM    MM
2022 01 28 18 48 320  9.3  9.8    MM    MM    MM  MM 1021.4   7.9    MM    MM   MM   MM    MM
2022 01 28 18 42 330  8.2  9.3    MM    MM    MM  MM 1021.3   7.8    MM    MM   MM   MM    MM
2022 01 28 18 36 330  8.2 10.3    MM    MM    MM  MM 1021.5   7.9    MM    MM   MM   MM    MM
2022 01 28 18 30 320  8.8 11.3    MM    MM    MM  MM 1021.6   7.9    MM    MM   MM   MM    MM
2022 01 28 18 24 330  9.3 10.3    MM    MM    MM  MM 1021.7   7.8    MM    MM   MM   MM    MM
2022 01 28 18 18 330  8.2 10.3    MM    MM    MM  MM 1021.4   7.7    MM    MM   MM   MM    MM
2022 01 28 18 12 340  9.3 10.8    MM    MM    MM  MM 1021.4   7.8    MM    MM   MM   MM    MM
2022 01 28 18 06 330 10.3 11.3    MM    MM    MM  MM 1021.6   7.6    MM    MM   MM   MM    MM
2022 01 28 18 00 330  9.8 10.3    MM    MM    MM  MM 1021.5   7.7    MM    MM   MM +0.0    MM
2022 01 28 17 54 340  7.7 10.3    MM    MM    MM  MM 1021.5   7.8    MM    MM   MM   MM    MM
2022 01 28 17 48 330  9.3 10.3    MM    MM    MM  MM 1021.5   7.8    MM    MM   MM   MM    MM
2022 01 28 17 42 330  8.8  9.8    MM    MM    MM  MM 1021.6   7.8    MM    MM   MM   MM    MM
2022 01 28 17 36 330  8.8  9.3    MM    MM    MM  MM 1021.6   7.7    MM    MM   MM   MM    MM
2022 01 28 17 30 330  9.3 10.8    MM    MM    MM  MM 1021.6   7.8    MM    MM   MM   MM    MM
2022 01 28 17 24 350  9.8 11.3    MM    MM    MM  MM 1021.4   7.8    MM    MM   MM   MM    MM
2022 01 28 17 18 350 10.8 11.8    MM    MM    MM  MM 1021.6   7.8    MM    MM   MM   MM    MM
2022 01 28 17 12 340 10.8 11.3    MM    MM    MM  MM 1021.6   7.8    MM    MM   MM   MM    MM
2022 01 28 17 06 350 10.3 11.8    MM    MM    MM  MM 1021.5   7.8    MM    MM   MM   MM    MM
2022 01 28 17 00 350 10.3 11.8    MM    MM    MM  MM 1021.4   7.8    MM    MM   MM +0.4    MM
2022 01 28 16 54 350 11.3 12.9    MM    MM    MM  MM 1021.4   7.8    MM    MM   MM   MM    MM
2022 01 28 16 48 350 11.8 13.4    MM    MM    MM  MM 1021.3   7.9    MM    MM   MM   MM    MM
2022 01 28 16 42 350 11.3 12.9    MM    MM    MM  MM 1021.4   7.9    MM    MM   MM   MM    MM
2022 01 28 16 36 350 10.8 11.8    MM    MM    MM  MM 1021.1   7.8    MM    MM   MM   MM    MM
2022 01 28 16 30 350 11.3 12.9    MM    MM    MM  MM 1021.4   7.8    MM    MM   MM   MM    MM
2022 01 28 16 24 340 11.3 12.9    MM    MM    MM  MM 1021.9   7.8    MM    MM   MM   MM    MM
2022 01 28 16 18 340 11.3 13.4    MM    MM    MM  MM 1022.2   7.8    MM    MM   MM   MM    MM
2022 01 28 16 12 340 12.9 13.9    MM    MM    MM  MM 1022.1   7.8    MM    MM   MM   MM    MM
2022 01 28 16 06 340 12.4 13.4    MM    MM    MM  MM 1022.2   7.8    MM    MM   MM   MM    MM
2022 01 28 16 00 340 11.8 12.9    MM    MM    MM  MM 1022.1   7.9    MM    MM   MM +1.5    MM
2022 01 28 15 54 340 10.8 12.9    MM    MM    MM  MM 1022.0   8.0    MM    MM   MM   MM    MM
2022 01 28 15 48 340 11.8 12.9    MM    MM    MM  MM 1022.0   7.8    MM    MM   MM   MM    MM
2022 01 28 15 42 340 10.3 12.4    MM    MM    MM  MM 1021.9   7.8    MM    MM   MM   MM    MM
2022 01 28 15 36 340 10.8 12.4    MM    MM    MM  MM 1022.1   7.8    MM    MM   MM   MM    MM
2022 01 28 15 30 340 10.8 12.9    MM    MM    MM  MM 1022.0   7.6    MM    MM   MM   MM    MM
2022 01 28 15 24 340 11.3 12.4    MM    MM    MM  MM 1021.8   7.5    MM    MM   MM   MM    MM
2022 01 28 15 18 340 10.8 13.4    MM    MM    MM  MM 1021.6   7.5    MM    MM   MM   MM    MM
2022 01 28 15 12 340 11.8 12.9    MM    MM    MM  MM 1021.5   7.4    MM    MM   MM   MM    MM
2022 01 28 15 06 340 11.3 12.9    MM    MM    MM  MM 1021.5   7.5    MM    MM   MM   MM    MM
2022 01 28 15 00 340 11.8 12.9    MM    MM    MM  MM 1021.5   7.4    MM    MM   MM +1.2    MM
2022 01 28 14 54 340 11.3 12.4    MM    MM    MM  MM 1021.3   7.4    MM    MM   MM   MM    MM
2022 01 28 14 48 330 10.3 11.8    MM    MM    MM  MM 1021.3   7.5    MM    MM   MM   MM    MM
2022 01 28 14 42 330 10.3 11.8    MM    MM    MM  MM 1021.4   7.4    MM    MM   MM   MM    MM
2022 01 28 14 36 330 10.8 11.3    MM    MM    MM  MM 1021.4   7.5    MM    MM   MM   MM    MM
2022 01 28 14 30 340 10.3 11.3    MM    MM    MM  MM 1021.4   7.4    MM    MM   MM   MM    MM
2022 01 28 14 24 330  9.8 10.3    MM    MM    MM  MM 1021.4   7.5    MM    MM   MM   MM    MM
2022 01 28 14 18 340  8.8  9.8    MM    MM    MM  MM 1021.3   7.6    MM    MM   MM   MM    MM
2022 01 28 14 12 340  8.2  9.3    MM    MM    MM  MM 1021.1   7.6    MM    MM   MM   MM    MM
2022 01 28 14 06 340  8.2  9.3    MM    MM    MM  MM 1021.0   7.6    MM    MM   MM   MM    MM
2022 01 28 14 00 340  7.7  9.8    MM    MM    MM  MM 1021.0   7.7    MM    MM   MM +1.6    MM
2022 01 28 13 54 330  9.3  9.8    MM    MM    MM  MM 1021.2   7.6    MM    MM   MM   MM    MM
2022 01 28 13 48 340  8.2  8.8    MM    MM    MM  MM 1021.1   7.6    MM    MM   MM   MM    MM
2022 01 28 13 42 340  7.7  8.2    MM    MM    MM  MM 1020.9   7.6    MM    MM   MM   MM    MM
2022 01 28 13 36 330  7.7  9.3    MM    MM    MM  MM 1021.0   7.6    MM    MM   MM   MM    MM
2022 01 28 13 30 340  7.7  8.8    MM    MM    MM  MM 1021.0   7.5    MM    MM   MM   MM    MM
2022 01 28 13 24 340  8.2  8.8    MM    MM    MM  MM 1020.9   7.5    MM    MM   MM   MM    MM
2022 01 28 13 18 330  7.7  8.8    MM    MM    MM  MM 1020.8   7.6    MM    MM   MM   MM    MM
2022 01 28 13 12 330  7.2  7.7    MM    MM    MM  MM 1020.7   7.6    MM    MM   MM   MM    MM
2022 01 28 13 06 330  6.7  7.7    MM    MM    MM  MM 1020.5   7.6    MM    MM   MM   MM    MM
2022 01 28 13 00 330  7.2  8.2    MM    MM    MM  MM 1020.6   7.7    MM    MM   MM +1.3    MM
2022 01 28 12 54 330  6.2  7.2    MM    MM    MM  MM 1020.5   7.8    MM    MM   MM   MM    MM
2022 01 28 12 48 330  6.7  7.2    MM    MM    MM  MM 1020.6   7.8    MM    MM   MM   MM    MM
2022 01 28 12 42 330  5.7  6.7    MM    MM    MM  MM 1020.2   7.7    MM    MM   MM   MM    MM
2022 01 28 12 36 330  5.1  6.2    MM    MM    MM  MM 1020.3   7.8    MM    MM   MM   MM    MM
2022 01 28 12 30 330  5.1  5.7    MM    MM    MM  MM 1020.4   7.9    MM    MM   MM   MM    MM
2022 01 28 12 24 330  5.1  5.7    MM    MM    MM  MM 1020.3   7.9    MM    MM   MM   MM    MM
2022 01 28 12 18 330  5.7  6.7    MM    MM    MM  MM 1020.1   7.9    MM    MM   MM   MM    MM
2022 01 28 12 12 330  6.2  7.7    MM    MM    MM  MM 1020.2   8.2    MM    MM   MM   MM    MM
2022 01 28 12 06 330  7.2  7.7    MM    MM    MM  MM 1020.2   8.3    MM    MM   MM   MM    MM
2022 01 28 12 00 340  6.7  8.2    MM    MM    MM  MM 1020.3   8.4    MM    MM   MM +0.4    MM
2022 01 28 11 54 340  7.2  8.2    MM    MM    MM  MM 1020.2   8.5    MM    MM   MM   MM    MM
2022 01 28 11 48 340  6.7  7.7    MM    MM    MM  MM 1020.1   8.6    MM    MM   MM   MM    MM
2022 01 28 11 42 340  7.2  7.7    MM    MM    MM  MM 1020.1   8.7    MM    MM   MM   MM    MM
2022 01 28 11 36 340  6.7  7.2    MM    MM    MM  MM 1019.9   8.7    MM    MM   MM   MM    MM
2022 01 28 11 30 350  6.2  7.2    MM    MM    MM  MM 1019.8   8.6    MM    MM   MM   MM    MM
2022 01 28 11 24 350  7.2  7.7    MM    MM    MM  MM 1019.7   8.5    MM    MM   MM   MM    MM
2022 01 28 11 18 340  6.7  7.2    MM    MM    MM  MM 1019.7   8.6    MM    MM   MM   MM    MM
2022 01 28 11 12 340  6.7  7.7    MM    MM    MM  MM 1019.6   8.6    MM    MM   MM   MM    MM
2022 01 28 11 06 340  7.2  7.7    MM    MM    MM  MM 1019.6   8.6    MM    MM   MM   MM    MM
2022 01 28 11 00 340  6.2  6.7    MM    MM    MM  MM 1019.4   8.8    MM    MM   MM -1.2    MM
2022 01 28 10 54 340  5.7  6.2    MM    MM    MM  MM 1019.4   8.9    MM    MM   MM   MM    MM
2022 01 28 10 48 330  5.1  5.7    MM    MM    MM  MM 1019.4   9.1    MM    MM   MM   MM    MM
2022 01 28 10 42 330  4.6  5.1    MM    MM    MM  MM 1019.3   9.2    MM    MM   MM   MM    MM
