#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 21 20 00 300  3.6 10.3    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2021 12 21 19 55 300  3.6  9.3    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2021 12 21 19 35  MM  3.1  6.2    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2021 12 21 19 15 300  4.1  8.8    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2021 12 21 18 55  MM  3.1  8.8    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2021 12 21 18 35  MM  2.6  7.2    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2021 12 21 18 15 300  3.6  8.2    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2021 12 21 17 55 310  3.6  8.2    MM    MM    MM  MM     MM    16    MM    11  8.7   MM    MM
2021 12 21 17 35  MM  2.6  8.8    MM    MM    MM  MM     MM    15    MM    11  8.7   MM    MM
2021 12 21 17 15 300  3.6  7.2    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2021 12 21 16 55 310  4.1  6.7    MM    MM    MM  MM     MM    15    MM    12  1.7   MM    MM
2021 12 21 16 35  MM  3.1  8.2    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2021 12 21 16 15 310  3.6   MM    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2021 12 21 15 55 310  3.6  7.7    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2021 12 21 15 35  MM  3.1 10.3    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2021 12 21 15 15  MM  2.6  5.1    MM    MM    MM  MM     MM    15    MM    13  4.3   MM    MM
2021 12 21 14 55  MM  2.6  7.7    MM    MM    MM  MM     MM    16    MM    13  7.0   MM    MM
2021 12 21 14 35  MM  2.6 10.8    MM    MM    MM  MM     MM    16    MM    13  6.1   MM    MM
