#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 29 00 35 350 15.4   MM    MM    MM    MM  MM     MM    13    MM     0  8.7   MM    MM
2022 01 29 00 15 340 14.9   MM    MM    MM    MM  MM     MM    12    MM    -2  8.7   MM    MM
2022 01 28 23 55 330 11.3   MM    MM    MM    MM  MM     MM    12    MM     3  8.7   MM    MM
2022 01 28 23 35 330 11.3   MM    MM    MM    MM  MM     MM    12    MM     3  0.4   MM    MM
2022 01 28 23 15 320  9.8   MM    MM    MM    MM  MM     MM    11    MM     3  0.2   MM    MM
2022 01 28 22 55 320 10.3   MM    MM    MM    MM  MM     MM    11    MM     3  8.7   MM    MM
2022 01 28 22 35 330 10.8   MM    MM    MM    MM  MM     MM    11    MM     2  8.7   MM    MM
2022 01 28 22 15 340 11.3   MM    MM    MM    MM  MM     MM    11    MM     2  8.7   MM    MM
2022 01 28 21 55 340 11.8 15.4    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 21 35 340 12.9 16.0    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
2022 01 28 21 15 350 12.4 16.5    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 20 55 340 12.4   MM    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 20 35 350 12.4   MM    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 20 10 350 12.9 16.0    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 19 55 340 12.9 15.4    MM    MM    MM  MM     MM    10    MM     2  8.7   MM    MM
2022 01 28 19 35 350 13.4 17.0    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
2022 01 28 19 15 340 11.3 14.4    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
2022 01 28 18 55 340 11.8 16.0    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
2022 01 28 18 35 340 12.9 16.0    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
2022 01 28 18 15 350 11.3 14.4    MM    MM    MM  MM     MM    10    MM     3  8.7   MM    MM
