#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 29 00 30 310  6.7  7.7    MM    MM    MM  MM 1030.4  12.5  15.4    MM   MM   MM    MM
2022 01 29 00 18 320  7.2  8.8    MM    MM    MM  MM 1030.3  12.6  15.3    MM   MM   MM    MM
2022 01 29 00 12 320  6.7  8.2    MM    MM    MM  MM 1030.1  12.7  15.2    MM   MM   MM    MM
2022 01 29 00 06 310  6.7  8.2    MM    MM    MM  MM 1030.0  12.7  15.3    MM   MM   MM    MM
2022 01 29 00 00 310  7.7  8.8    MM    MM    MM  MM 1030.1  12.8  15.4    MM   MM +0.4    MM
2022 01 28 23 54 310  7.7  9.3    MM    MM    MM  MM 1030.0  12.8  15.4    MM   MM   MM    MM
2022 01 28 23 48 310  7.7  8.8    MM    MM    MM  MM 1030.1  12.8  15.4    MM   MM   MM    MM
2022 01 28 23 42 320  7.7  8.2    MM    MM    MM  MM 1030.0  12.9  15.5    MM   MM   MM    MM
2022 01 28 23 36 320  7.2  8.2    MM    MM    MM  MM 1030.0  12.9  15.5    MM   MM   MM    MM
2022 01 28 23 30 320  7.2  8.8    MM    MM    MM  MM 1029.9  12.8  15.4    MM   MM   MM    MM
2022 01 28 23 24 320  7.7  9.3    MM    MM    MM  MM 1030.0  12.9  15.5    MM   MM   MM    MM
2022 01 28 23 18 320  8.8  9.8    MM    MM    MM  MM 1029.9  12.9  15.5    MM   MM   MM    MM
2022 01 28 23 12 320  8.8 10.8    MM    MM    MM  MM 1029.9  12.9  15.4    MM   MM   MM    MM
2022 01 28 23 06 320  9.8 10.8    MM    MM    MM  MM 1029.9  13.0  15.4    MM   MM   MM    MM
2022 01 28 23 00 320  7.7  9.8    MM    MM    MM  MM 1029.8  13.0  15.3    MM   MM -1.0    MM
2022 01 28 22 48 330  8.2  9.8    MM    MM    MM  MM 1029.6  13.0  15.4    MM   MM   MM    MM
2022 01 28 22 42 330  8.2  9.3    MM    MM    MM  MM 1029.5  13.0  15.4    MM   MM   MM    MM
2022 01 28 22 36 320  7.7  8.8    MM    MM    MM  MM 1029.4  13.0  15.4    MM   MM   MM    MM
2022 01 28 22 30 320  6.7  8.2    MM    MM    MM  MM 1029.4  13.1  15.4    MM   MM   MM    MM
2022 01 28 22 24 320  6.7  8.2    MM    MM    MM  MM 1029.4  13.0  15.6    MM   MM   MM    MM
2022 01 28 22 18 310  5.7  7.2    MM    MM    MM  MM 1029.3  12.9  15.6    MM   MM   MM    MM
2022 01 28 22 12 310  6.2  7.2    MM    MM    MM  MM 1029.4  12.9  15.5    MM   MM   MM    MM
2022 01 28 22 06 320  6.7  7.7    MM    MM    MM  MM 1029.4  12.8  15.6    MM   MM   MM    MM
2022 01 28 21 54 320  6.2  7.7    MM    MM    MM  MM 1029.4  12.6  15.5    MM   MM   MM    MM
2022 01 28 21 48 320  5.7  6.2    MM    MM    MM  MM 1029.4  12.5  15.4    MM   MM   MM    MM
2022 01 28 21 42 320  6.2  7.2    MM    MM    MM  MM 1029.4  12.5  15.4    MM   MM   MM    MM
