,DateTime,year,month,day,hour,minute,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2,2022-01-29 01:55:00,2022,01,29,01,55,360,9.8,MM,MM,MM,MM,MM,MM,14,MM,-2,8.7,MM,MM
3,2022-01-29 01:35:00,2022,01,29,01,35,350,9.8,MM,MM,MM,MM,MM,MM,14,MM,-2,8.7,MM,MM
4,2022-01-29 01:15:00,2022,01,29,01,15,350,10.3,MM,MM,MM,MM,MM,MM,14,MM,-1,8.7,MM,MM
5,2022-01-29 00:55:00,2022,01,29,00,55,360,11.3,MM,MM,MM,MM,MM,MM,14,MM,-1,8.7,MM,MM
6,2022-01-29 00:35:00,2022,01,29,00,35,350,10.3,MM,MM,MM,MM,MM,MM,14,MM,-1,8.7,MM,MM
7,2022-01-29 00:15:00,2022,01,29,00,15,10,10.3,MM,MM,MM,MM,MM,MM,14,MM,-1,8.7,MM,MM
8,2022-01-28 23:55:00,2022,01,28,23,55,10,10.3,MM,MM,MM,MM,MM,MM,14,MM,-2,8.7,MM,MM
9,2022-01-28 23:35:00,2022,01,28,23,35,350,3.1,MM,MM,MM,MM,MM,MM,13,MM,1,8.7,MM,MM
10,2022-01-28 23:15:00,2022,01,28,23,15,330,3.1,MM,MM,MM,MM,MM,MM,13,MM,2,8.7,MM,MM
11,2022-01-28 22:55:00,2022,01,28,22,55,330,4.1,MM,MM,MM,MM,MM,MM,13,MM,1,8.7,MM,MM
12,2022-01-28 22:35:00,2022,01,28,22,35,340,4.1,MM,MM,MM,MM,MM,MM,13,MM,1,8.7,MM,MM
13,2022-01-28 22:15:00,2022,01,28,22,15,360,4.1,MM,MM,MM,MM,MM,MM,13,MM,1,8.7,MM,MM
14,2022-01-28 21:55:00,2022,01,28,21,55,340,4.1,MM,MM,MM,MM,MM,MM,13,MM,1,8.7,MM,MM
15,2022-01-28 21:35:00,2022,01,28,21,35,350,5.7,MM,MM,MM,MM,MM,MM,12,MM,1,8.7,MM,MM
16,2022-01-28 21:15:00,2022,01,28,21,15,340,4.1,7.7,MM,MM,MM,MM,MM,12,MM,2,8.7,MM,MM
17,2022-01-28 20:35:00,2022,01,28,20,35,320,5.7,MM,MM,MM,MM,MM,MM,12,MM,2,8.7,MM,MM
18,2022-01-28 20:15:00,2022,01,28,20,15,340,7.2,MM,MM,MM,MM,MM,MM,11,MM,1,8.7,MM,MM
19,2022-01-28 19:55:00,2022,01,28,19,55,350,6.7,10.3,MM,MM,MM,MM,MM,11,MM,1,8.7,MM,MM
20,2022-01-28 19:35:00,2022,01,28,19,35,360,6.2,MM,MM,MM,MM,MM,MM,11,MM,1,8.7,MM,MM
21,2022-01-28 19:15:00,2022,01,28,19,15,20,7.2,MM,MM,MM,MM,MM,MM,11,MM,0,MM,MM,MM
22,2022-01-28 18:55:00,2022,01,28,18,55,360,7.2,MM,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
23,2022-01-28 18:35:00,2022,01,28,18,35,20,7.7,MM,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
24,2022-01-28 18:15:00,2022,01,28,18,15,10,8.2,11.3,MM,MM,MM,MM,MM,11,MM,-1,8.7,MM,MM
25,2022-01-28 17:55:00,2022,01,28,17,55,20,9.3,12.4,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
26,2022-01-28 17:35:00,2022,01,28,17,35,20,10.3,MM,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
27,2022-01-28 17:15:00,2022,01,28,17,15,20,10.8,13.9,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
28,2022-01-28 16:55:00,2022,01,28,16,55,30,11.8,17.0,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
29,2022-01-28 16:35:00,2022,01,28,16,35,30,12.4,MM,MM,MM,MM,MM,MM,11,MM,0,8.7,MM,MM
30,2022-01-28 16:15:00,2022,01,28,16,15,20,11.3,13.9,MM,MM,MM,MM,MM,11,MM,2,8.7,MM,MM
31,2022-01-28 15:55:00,2022,01,28,15,55,20,12.9,MM,MM,MM,MM,MM,MM,11,MM,2,8.7,MM,MM
32,2022-01-28 15:35:00,2022,01,28,15,35,20,11.8,MM,MM,MM,MM,MM,MM,11,MM,1,8.7,MM,MM
33,2022-01-28 15:15:00,2022,01,28,15,15,20,11.8,MM,MM,MM,MM,MM,MM,11,MM,3,8.7,MM,MM
34,2022-01-28 14:55:00,2022,01,28,14,55,20,8.8,12.4,MM,MM,MM,MM,MM,10,MM,4,6.1,MM,MM
35,2022-01-28 14:35:00,2022,01,28,14,35,20,11.3,MM,MM,MM,MM,MM,MM,10,MM,4,3.5,MM,MM
36,2022-01-28 14:15:00,2022,01,28,14,15,20,9.8,12.9,MM,MM,MM,MM,MM,10,MM,4,3.5,MM,MM
37,2022-01-28 13:55:00,2022,01,28,13,55,10,12.4,15.4,MM,MM,MM,MM,MM,11,MM,4,8.7,MM,MM
38,2022-01-28 13:35:00,2022,01,28,13,35,20,10.3,13.4,MM,MM,MM,MM,MM,11,MM,4,8.7,MM,MM
39,2022-01-28 13:15:00,2022,01,28,13,15,20,11.8,14.9,MM,MM,MM,MM,MM,11,MM,4,6.1,MM,MM
40,2022-01-28 12:55:00,2022,01,28,12,55,10,10.3,MM,MM,MM,MM,MM,MM,12,MM,4,8.7,MM,MM
41,2022-01-28 12:35:00,2022,01,28,12,35,20,11.8,14.9,MM,MM,MM,MM,MM,12,MM,4,6.1,MM,MM
42,2022-01-28 12:15:00,2022,01,28,12,15,30,11.8,MM,MM,MM,MM,MM,MM,12,MM,4,5.2,MM,MM
43,2022-01-28 11:55:00,2022,01,28,11,55,40,10.3,13.9,MM,MM,MM,MM,MM,13,MM,4,8.7,MM,MM
44,2022-01-28 11:35:00,2022,01,28,11,35,30,12.4,MM,MM,MM,MM,MM,MM,12,MM,6,7.8,MM,MM
45,2022-01-28 11:15:00,2022,01,28,11,15,40,9.8,MM,MM,MM,MM,MM,MM,13,MM,6,7.8,MM,MM
46,2022-01-28 10:55:00,2022,01,28,10,55,40,7.7,MM,MM,MM,MM,MM,MM,13,MM,6,8.7,MM,MM
47,2022-01-28 10:35:00,2022,01,28,10,35,50,6.7,9.8,MM,MM,MM,MM,MM,13,MM,7,8.7,MM,MM
48,2022-01-28 10:15:00,2022,01,28,10,15,30,9.3,12.4,MM,MM,MM,MM,MM,13,MM,7,4.3,MM,MM
49,2022-01-28 09:55:00,2022,01,28,09,55,40,9.3,MM,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
50,2022-01-28 09:35:00,2022,01,28,09,35,70,6.2,10.3,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
51,2022-01-28 09:15:00,2022,01,28,09,15,60,6.7,9.3,MM,MM,MM,MM,MM,14,MM,7,8.7,MM,MM
52,2022-01-28 08:55:00,2022,01,28,08,55,60,5.7,MM,MM,MM,MM,MM,MM,14,MM,7,8.7,MM,MM
53,2022-01-28 08:35:00,2022,01,28,08,35,50,6.2,8.8,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
54,2022-01-28 08:15:00,2022,01,28,08,15,70,5.1,8.2,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
55,2022-01-28 07:55:00,2022,01,28,07,55,70,7.7,MM,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
56,2022-01-28 07:35:00,2022,01,28,07,35,70,5.7,8.2,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
57,2022-01-28 07:15:00,2022,01,28,07,15,70,5.7,8.8,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
58,2022-01-28 06:55:00,2022,01,28,06,55,70,7.2,MM,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
59,2022-01-28 06:35:00,2022,01,28,06,35,70,6.7,MM,MM,MM,MM,MM,MM,15,MM,6,8.7,MM,MM
60,2022-01-28 06:15:00,2022,01,28,06,15,70,5.1,8.2,MM,MM,MM,MM,MM,15,MM,6,8.7,MM,MM
61,2022-01-28 05:55:00,2022,01,28,05,55,80,6.2,9.3,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
62,2022-01-28 05:35:00,2022,01,28,05,35,80,6.2,MM,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
63,2022-01-28 05:15:00,2022,01,28,05,15,80,6.2,9.3,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
64,2022-01-28 04:55:00,2022,01,28,04,55,70,6.2,MM,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
65,2022-01-28 04:35:00,2022,01,28,04,35,70,6.7,MM,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
66,2022-01-28 04:15:00,2022,01,28,04,15,70,6.7,9.8,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
67,2022-01-28 03:55:00,2022,01,28,03,55,70,7.7,10.3,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
68,2022-01-28 03:35:00,2022,01,28,03,35,80,7.2,MM,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
69,2022-01-28 03:15:00,2022,01,28,03,15,90,4.1,8.2,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
70,2022-01-28 02:55:00,2022,01,28,02,55,80,5.1,MM,MM,MM,MM,MM,MM,15,MM,8,MM,MM,MM
71,2022-01-28 02:35:00,2022,01,28,02,35,MM,2.1,7.7,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
72,2022-01-28 02:15:00,2022,01,28,02,15,80,4.1,10.8,MM,MM,MM,MM,MM,15,MM,7,8.7,MM,MM
73,2022-01-28 01:55:00,2022,01,28,01,55,90,3.6,8.2,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
74,2022-01-28 01:35:00,2022,01,28,01,35,90,3.6,9.8,MM,MM,MM,MM,MM,15,MM,8,8.7,MM,MM
75,2022-01-28 01:15:00,2022,01,28,01,15,90,4.6,8.2,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
76,2022-01-28 00:55:00,2022,01,28,00,55,80,5.7,11.3,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
77,2022-01-28 00:35:00,2022,01,28,00,35,90,6.2,11.8,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
78,2022-01-28 00:15:00,2022,01,28,00,15,80,7.2,10.8,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
79,2022-01-27 23:55:00,2022,01,27,23,55,80,4.6,10.8,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
80,2022-01-27 23:35:00,2022,01,27,23,35,80,7.2,10.8,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
81,2022-01-27 23:15:00,2022,01,27,23,15,80,5.1,MM,MM,MM,MM,MM,MM,14,MM,8,8.7,MM,MM
82,2022-01-27 22:55:00,2022,01,27,22,55,80,5.7,8.8,MM,MM,MM,MM,MM,14,MM,9,8.7,MM,MM
83,2022-01-27 22:35:00,2022,01,27,22,35,MM,3.6,10.3,MM,MM,MM,MM,MM,14,MM,9,8.7,MM,MM
84,2022-01-27 22:15:00,2022,01,27,22,15,80,4.6,8.2,MM,MM,MM,MM,MM,14,MM,9,8.7,MM,MM
85,2022-01-27 21:55:00,2022,01,27,21,55,80,4.1,10.8,MM,MM,MM,MM,MM,14,MM,9,8.7,MM,MM
86,2022-01-27 21:35:00,2022,01,27,21,35,60,6.7,10.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
87,2022-01-27 21:15:00,2022,01,27,21,15,70,6.7,10.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
88,2022-01-27 20:55:00,2022,01,27,20,55,70,5.7,8.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
89,2022-01-27 20:35:00,2022,01,27,20,35,60,6.2,9.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
90,2022-01-27 20:15:00,2022,01,27,20,15,60,6.7,10.3,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
91,2022-01-27 19:55:00,2022,01,27,19,55,60,5.1,10.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
92,2022-01-27 19:35:00,2022,01,27,19,35,70,4.6,8.2,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
93,2022-01-27 19:15:00,2022,01,27,19,15,70,5.7,9.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
94,2022-01-27 18:55:00,2022,01,27,18,55,60,6.2,8.8,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
95,2022-01-27 18:35:00,2022,01,27,18,35,60,6.7,10.8,MM,MM,MM,MM,MM,14,MM,12,8.7,MM,MM
96,2022-01-27 18:15:00,2022,01,27,18,15,60,6.2,9.3,MM,MM,MM,MM,MM,14,MM,12,7.8,MM,MM
97,2022-01-27 17:55:00,2022,01,27,17,55,50,5.7,MM,MM,MM,MM,MM,MM,14,MM,11,8.7,MM,MM
98,2022-01-27 17:35:00,2022,01,27,17,35,30,8.2,MM,MM,MM,MM,MM,MM,14,MM,12,8.7,MM,MM
99,2022-01-27 17:15:00,2022,01,27,17,15,30,8.2,MM,MM,MM,MM,MM,MM,15,MM,12,8.7,MM,MM
100,2022-01-27 16:55:00,2022,01,27,16,55,40,5.7,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
101,2022-01-27 16:35:00,2022,01,27,16,35,40,5.1,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
102,2022-01-27 16:15:00,2022,01,27,16,15,70,4.6,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
103,2022-01-27 15:55:00,2022,01,27,15,55,50,3.1,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
104,2022-01-27 15:35:00,2022,01,27,15,35,60,3.1,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
105,2022-01-27 15:15:00,2022,01,27,15,15,40,4.1,MM,MM,MM,MM,MM,MM,15,MM,11,8.7,MM,MM
